TIME,OPEN(T),HIGH(t),LOW(t),CLOSE(t)
10:00:00,87120,87380,87120,87360
10:00:01,87320,87370,87270,87310
10:00:02,87310,87370,87290,87320
10:00:03,87340,87340,87280,87300
10:00:04,87300,87350,87240,87290
10:00:05,87300,87340,87280,87310
10:00:06,87320,87330,87290,87300
10:00:07,87300,87330,87290,87330
10:00:08,87330,87340,87280,87300
10:00:09,87310,87340,87310,87330
10:00:10,87310,87330,87260,87320
10:00:11,87320,87340,87290,87310
10:00:12,87310,87310,87290,87310
10:00:13,87310,87320,87300,87310
10:00:14,87300,87310,87240,87250
10:00:15,87250,87280,87230,87240
10:00:16,87240,87270,87230,87240
10:00:17,87240,87250,87230,87240
10:00:18,87240,87270,87240,87250
10:00:19,87250,87270,87250,87270
10:00:20,87280,87290,87260,87260
10:00:21,87260,87290,87260,87270
10:00:22,87260,87290,87250,87250
10:00:23,87270,87270,87160,87180
10:00:24,87190,87200,87170,87180
10:00:25,87170,87170,87140,87140
10:00:26,87160,87170,87130,87140
10:00:27,87160,87170,87150,87170
10:00:28,87170,87180,87160,87170
10:00:29,87180,87180,87150,87190
10:00:30,87180,87180,87150,87160
10:00:31,87160,87170,87150,87160
10:00:32,87140,87170,87140,87170
10:00:33,87160,87170,87150,87160
10:00:34,87160,87170,87160,87170
10:00:35,87170,87170,87150,87150
10:00:36,87160,87160,87140,87140
10:00:37,87140,87150,87120,87130
10:00:38,87110,87150,87110,87150
10:00:39,87130,87160,87120,87130
10:00:40,87150,87150,87130,87120
10:00:41,87130,87130,87120,87130
10:00:42,87120,87150,87110,87130
10:00:43,87130,87130,87120,87120
10:00:44,87120,87130,87100,87110
10:00:45,87110,87110,87110,87110
10:00:46,87110,87130,87110,87110
10:00:47,87110,87130,87110,87130
10:00:48,87110,87130,87110,87120
10:00:49,87130,87130,87130,87120
10:00:50,87120,87140,87110,87120
10:00:51,87120,87120,87110,87120
10:00:52,87120,87140,87120,87130
10:00:53,87120,87130,87120,87120
10:00:54,87120,87130,87040,87050
10:00:55,87060,87060,87030,87050
10:00:56,87040,87060,87040,87050
10:00:57,87040,87040,87040,87040
10:00:58,87050,87050,87040,87020
10:00:59,87020,87040,87010,87040
10:01:00,87020,87050,86990,87020
10:01:01,87020,87040,87020,87010
10:01:02,87020,87020,87000,87000
10:01:03,87020,87020,86990,87000
10:01:04,86990,87010,86990,87000
10:01:05,87000,87010,86980,86980
10:01:06,86980,87050,86980,87010
10:01:07,87020,87030,87010,87010
10:01:08,87010,87020,87010,87020
10:01:09,87010,87020,87000,87020
10:01:10,87010,87020,87000,87010
10:01:11,87010,87020,86990,86990
10:01:12,87000,87000,86990,87010
10:01:13,87000,87000,86990,87000
10:01:14,87000,87000,87000,87000
10:01:15,87000,87010,86950,86970
10:01:16,86980,86990,86950,86960
10:01:17,86960,86980,86940,86980
10:01:18,86960,86960,86940,86950
10:01:19,86950,86960,86950,86950
10:01:20,86960,86970,86950,86950
10:01:21,86950,86960,86940,86960
10:01:22,86960,86970,86950,86950
10:01:23,86960,86960,86940,86940
